time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-02-13 10:00:00-05:00,MLTrader,6af59e119ce64585b3f87a7887d5f1bb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-13 10:00:00-05:00,MLTrader,6af59e119ce64585b3f87a7887d5f1bb,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.7200012207031,245.0,0.0
2023-02-17 08:30:00-05:00,MLTrader,d43f85c547024d7fb27c4741ff5ad0e9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-17 08:30:00-05:00,MLTrader,10e597cf773949dcb82e2548ae4c4031,SPY,sell,stop,fill,1,day,0.0,1,stock,404.63280120849606,245.0,0.0
2023-02-21 10:00:00-05:00,MLTrader,ea80d918e068459da83e907550bbaee9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 10:00:00-05:00,MLTrader,ea80d918e068459da83e907550bbaee9,SPY,buy,market,fill,1,gtc,0.0,1,stock,403.05999755859375,246.0,0.0
2023-02-21 10:30:00-05:00,MLTrader,e95601c779b74044bdb0a906fd583c2f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-21 10:30:00-05:00,MLTrader,f496618167354308b5f06f0e13993446,SPY,sell,stop,fill,1,day,0.0,1,stock,399.02939758300784,246.0,0.0
2023-02-24 10:00:00-05:00,MLTrader,cf9a95d61dcd490cb031f8384d4c5443,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-24 10:00:00-05:00,MLTrader,cf9a95d61dcd490cb031f8384d4c5443,SPY,buy,market,fill,1,gtc,0.0,1,stock,395.4200134277344,248.0,0.0
2023-03-03 08:30:00-05:00,MLTrader,ff83d16443f64e0f9d0188b6b88ab5f5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-03-03 08:30:00-05:00,MLTrader,84ac23682d014ccb83f55953bcaf5b68,SPY,sell,limit,fill,1,day,0.0,1,stock,403.3284136962891,248.0,0.0
2023-03-06 10:00:00-05:00,MLTrader,57f9a8c85a184c979e900f7255c24d24,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-06 10:00:00-05:00,MLTrader,57f9a8c85a184c979e900f7255c24d24,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.04998779296875,247.0,0.0
2023-03-07 08:30:00-05:00,MLTrader,bebbeb1ed3fb4d859c116e028210610c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-03-07 08:30:00-05:00,MLTrader,5a7bb181f62045c9a4b912b39af1965f,SPY,sell,stop,fill,1,day,0.0,1,stock,400.9994879150391,247.0,0.0
2023-03-08 10:00:00-05:00,MLTrader,783bd68160db4745afd68b7c428f40ac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-08 10:00:00-05:00,MLTrader,783bd68160db4745afd68b7c428f40ac,SPY,buy,market,fill,1,gtc,0.0,1,stock,398.3900146484375,248.0,0.0
2023-03-09 08:30:00-05:00,MLTrader,79da56ed6ade4c56b2eadc236e289707,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 08:30:00-05:00,MLTrader,33930987ced14791a8a8b77815bb063c,SPY,sell,stop,fill,1,day,0.0,1,stock,394.40611450195314,248.0,0.0
2023-03-10 10:00:00-05:00,MLTrader,387f48c430b44a758806208be2ed1381,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-10 10:00:00-05:00,MLTrader,387f48c430b44a758806208be2ed1381,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.989990234375,251.0,0.0
2023-03-15 08:30:00-04:00,MLTrader,7ee5fc156a63491c943ca287044d8152,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-15 08:30:00-04:00,MLTrader,fe5e8be546e14afcb65c6d451511176e,SPY,buy,stop,fill,1,day,0.0,1,stock,394.89989013671874,251.0,0.0
2023-03-20 11:00:00-04:00,MLTrader,f9c1c68f0d8741c59216bf1d7ce2f2c2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-20 11:00:00-04:00,MLTrader,f9c1c68f0d8741c59216bf1d7ce2f2c2,SPY,buy,market,fill,1,gtc,0.0,1,stock,397.239990234375,244.0,0.0
2023-03-21 08:30:00-04:00,MLTrader,5b76ea7e80d7487d8ae129919d0638af,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
